調査語,認知率(全体),理解率(全体),使用率(全体),認知率(60歳以上),理解率(60歳以上),使用率(60歳以上),調査種類,調査回,調査時期
アーカイブ,23.4,8,4.7,12,4.1,1.4,Ｂ(1),4,H15年2月
アイデンティティ,46.7,23.1,14.9,19.3,8.5,4.4,Ｂ(1),4,H15年2月
アイデンティティ,52.8,20.9,13.8,24.6,8.6,5.9,Ａ,,H14年10月
アイドリングストップ,67.2,50.5,26.3,40.2,27.9,10.6,Ａ,,H14年10月
アウトソーシング,30.8,14.2,8.2,13.6,6.8,4.7,Ｂ(1),1,H14年12月
アウトプット,35.4,24.4,18.8,17,10.1,6.4,Ｂ(1),7,H15年10月
アウトレット,72.8,41.9,38,49.8,17.1,13.9,Ｂ(2),2,H16年8月
アカウンタビリティ,12,4.4,2.1,7.5,3.4,1.8,Ｂ(1),3,H15年1月
アクション,88.6,69.5,53.5,75.9,44.6,31.3,Ｂ(1),4,H15年2月
アクションプラン,25.2,11.2,6.1,21.8,7.3,2.2,Ｂ(1),5,H15年2月
アクションプログラム,26.1,9.4,4.3,23,7.3,3.7,Ｂ(1),2,H14年12月
アクセシビリティ,11.4,4.4,1.4,6.2,2.1,0.5,Ｂ(1),4,H15年2月
アクセス,85.7,57.7,46.8,67.6,31.3,19,Ａ,,H14年10月
アジェンダ,13.4,4.7,2.4,6.8,3.2,1.3,Ｂ(1),1,H14年12月
アスベスト,50.3,28.9,14.1,46.9,30.2,12.8,Ｂ(2),1,H16年5月
アスリート,55.7,27.8,13.8,18.9,6.4,1.8,Ｂ(1),5,H15年2月
アセスメント,62.7,17,10.3,56.4,11,5.5,Ａ,,H14年10月
アドミッション・オフィス,7.2,2.4,0.9,1.8,0.4,0.2,Ｂ(1),6,H15年9月
アナリスト,58,18.4,7.7,44.3,9.2,2.3,Ａ,,H14年10月
アナロジー,19.4,5.6,2.9,10.3,2.8,1.8,Ｂ(1),7,H15年10月
アピール,91,76.8,67.6,78.8,57.8,45.9,Ｂ(1),3,H15年1月
アプリケーション,51.6,18.1,16.1,23.8,7.2,3.9,Ａ,,H14年10月
アプローチ,86.4,63.7,50.1,69.6,41.4,31.2,Ｂ(1),1,H14年12月
アミューズメント,68.9,35.7,21.3,34.2,10.4,4,Ｂ(1),5,H15年2月
アメニティ,53.3,20.6,10.9,26.7,9.8,5.6,Ｂ(1),2,H14年12月
アロマセラピー,76.8,50.3,36.8,46.3,22.1,14.9,Ｂ(2),2,H16年8月
イニシアチブ,57.2,27.4,18.7,38.5,15,12.3,Ａ,,H14年10月
イノベーション,34.8,13.6,6.5,24,6.7,2.8,Ａ,,H14年10月
イベント,93.8,82.2,73.2,84.5,63.5,52.4,Ｂ(1),1,H14年12月
インキュベーション,10,3.3,2,5,3.3,2.2,Ａ,,H14年10月
インキュベータ,10.1,4.9,2.3,3.9,1.6,0,Ｂ(1),4,H15年2月
インサイダー,68,28.6,13.8,51.7,19.5,5.2,Ａ,,H14年10月
インストラクター,85.4,67.7,49.8,61.4,39.1,24.6,Ｂ(1),2,H14年12月
インセンティブ,25.7,10.4,5.8,11.2,5.3,1.1,Ａ,,H14年10月
インターネット,96.2,78.3,74.2,91.1,58.7,48,Ａ,,H14年10月
インターフェース,47.8,22.5,11.7,28.8,13,7.1,Ｂ(1),3,H15年1月
インターンシップ,28.1,15.1,7,15.6,8.9,3.4,Ａ,,H14年10月
